Unnamed: 0,acc.date,type,reg,operator,fat,location,dmg
1045,2018-04-15,Bombardier CL-600-2B16 Challenger 605,c-fxwt,Morningstar Partners Ltd.,0.0,"Winnipeg-James Armstrong Richardson International Airport, MB (YWG)",sub
1046,2018-04-15,Cessna 550 Citation Bravo,n4at,Private,0.0,"Winnipeg-James Armstrong Richardson International Airport, MB (YWG)",sub
1047,2018-04-15,Cessna 525 CitationJet,n525p,private,1.0,"NW of Crozet, VA",w/o
1048,2018-04-15,Airbus A321-213,b-6555,Air China,0.0,Zhengzhou-Xinzheng International Airport (CGO),non
1049,2018-04-16,Cessna 525 CitationJet CJ1,d-iswa,Herbert Waldmann Lichttechnik GmbH & Co. KG,0.0,Le Touquet Airport (LTQ),sub
1050,2018-04-17,de Havilland Canada DHC-8-402Q Dash 8,g-jecx,Flybe,0.0,Newquay-Cornwall Airport (NQY),sub
1051,2018-04-17,Boeing 737-7H4 (WL),n772sw,Southwest Airlines,1.0,"105 km NW of Philadelphia, PA",sub
1052,2018-04-18,Airbus A330-323,n806nw,Delta Air Lines,0.0,"Atlanta Hartsfield-Jackson International Airport, GA (ATL/KATL)",sub
1053,2018-04-20,McDonnell Douglas MD-83,n807wa,World Atlantic Airlines,0.0,"Alexandria International Airport, LA (AEX)",sub
1054,2018-04-23,Antonov An-2R,ha-mbj,SZEMP Air Kft.,0.0,Eperjes area,sub
1055,2018-04-29,Beechcraft 1900C,n172ga,Alpine Aviation,0.0,"Sioux Falls Regional Airport (Jo Foss Field), SD (FSD)",sub
1056,2018-04-29,Lockheed L-100-30 Hercules,111,Libyan Air Force,3.0,2 km from Sharara Airstrip,w/o
1057,2018-04-29,Boeing 737-8GP (WL),pk-loo,Lion Air,0.0,Gorontalo-Jalaluddin Airport (GTO),sub
1058,2018-04-30,Boeing 737-8AS (WL),ei-gdz,Ryanair,0.0,London-Stansted Airport (STN),sub
1059,2018-05-01,Boeing 767-332ER (WL),n172dn,Delta Air Lines,0.0,"New York-John F. Kennedy International Airport, NY (JFK)",min
1060,2018-05-01,Bombardier CRJ-900LR,n606lr,"Delta Connection, opb Endeavor Air",0.0,"New York-John F. Kennedy International Airport, NY (JFK)",sub
1061,2018-05-02,Boeing 737-8K5 (WL),oo-jay,TUI fly Belgium,0.0,Marrakech-Menara Airport (RAK),sub
1062,2018-05-02,Beechcraft C99 Commuter,pnc0203,Servicio Aéreo de Policia,4.0,near Ibagué,w/o
1063,2018-05-02,Lockheed WC-130H Hercules,65-0968,United States Air Force - USAF,9.0,"ca 2 km NE of Savannah/Hilton Head International Airport, GA (SAV)",w/o
1064,2018-05-03,Dassault Falcon 900EX,zs-dex,Blueport Trade 121 (Pty) Ltd.,0.0,Johannesburg/Germiston-Rand Airport (QRA),sub
1065,2018-05-04,Cessna 525C Citation CJ4,ec-moq,Aluminios Cortizo,0.0,Santiago de Compostela Airport (SCQ),sub
1066,2018-05-05,Embraer KC-390,pt-znf,Embraer,0.0,"Gavião Peixoto-Embraer Unidade Airport, SP (SBGP)",sub
1067,2018-05-07,Boeing 737-8H4 (WL),n8655d,Southwest Airlines,0.0,"Baltimore/Washington International Thurgood Marshall Airport, MD (BWI)",sub
1068,2018-05-12,Boeing 737-8BK (WL),p2-pxe,Air Niugini,0.0,Port Moresby-Jacksons International Airport (POM),sub
1069,2018-05-12,Lockheed L-100-30 Hercules,n403lc,"Lynden Air Cargo, opf PNG Air",0.0,Port Moresby-Jacksons International Airport (POM),sub
1070,2018-05-13,Cessna 208B Grand Caravan,g-knys,"Irish Parachute Club, lsf Parachuting Caravan Leasing",2.0,"4,6 km NW of Clonbullogue Aerodrome",w/o
1071,2018-05-13,Airbus A330-323,hl7792,Asiana Airlines,0.0,Istanbul-Atatürk International Airport (IST),sub
1072,2018-05-13,Airbus A321-231,tc-jmm,THY Turkish Airlines,0.0,Istanbul-Atatürk International Airport (IST),sub
1073,2018-05-15,Cessna 208B Grand Caravan,unknown,private,2.0,near Tuzantán,w/o
1074,2018-05-16,Cessna 208B Grand Caravan,9n-aju,Makalu Air,2.0,Bahun Khark,w/o
1075,2018-05-18,Boeing 737-201 Advanced,xa-uhz,"Cubana de Aviación, lsf Global Air",112.0,1 km E of Havana-José Martí International Airport (HAV/MUHA),w/o
1076,2018-05-20,Gulfstream G200 Galaxy,b-8129,Star Jet,0.0,Yangzhou Taizhou International Airport (YTY),sub
1077,2018-05-21,Airbus A330-243,tc-och,"Saudi Arabian Airlines, lsf Onur Air",0.0,Jeddah-King Abdulaziz International Airport (JED),sub
1078,2018-05-22,Gulfstream G200 Galaxy,n813wm,Silver Air,0.0,Tegucigalpa-Toncontin Airport (TGU),w/o
1079,2018-05-22,Cessna 208B Grand Caravan,pt-flw,Amazonaves Táxi Aéreo,0.0,"near Manaus-Aeroclube de Flores Airport, AM",w/o
1080,2018-05-23,Beechcraft 200 Super King Air,n800ha,Titan Drilling,0.0,Kolwezi Airport (KWZ),sub
1081,2018-05-23,Beechcraft 200 Super King Air,n905gp,Air Katanga,0.0,Kolwezi Airport (KWZ),min
1082,2018-05-24,Fairchild SA227-AC Metro III,xa-upp,Aeronaves TSM,0.0,Saltillo-Plan de Guadalupe International Airport (SLW),sub
1083,2018-05-30,Cessna 208B Grand Caravan,5y-ety,Asure Air,0.0,4 km from Obo-Mission Airstrip,sub
1084,2018-05-30,Cessna 208B Grand Caravan,5x-mrh,"Air Serv Limited, opf UNHAS",0.0,Kamonia Airstrip,sub
1085,2018-06-03,Lockheed C-130H Hercules,7t-wht,Al Quwwat al-Jawwiya al-Jaza'eriya,1.0,near Biskra Airport (BSK),w/o
1086,2018-06-05,Cessna 208B Grand Caravan,5y-cac,Fly-SAX,10.0,14 km NE of Njabini,w/o
1087,2018-06-06,Antonov An-2R,yr-dax,Aeroserv,0.0,"Baleni, Galati County",w/o
1088,2018-06-06,Cessna 525A CitationJet CJ2+,d-iuli,ProAir,0.0,Saint Tropez-La Môle Airport (LTT),sub
1089,2018-06-09,de Havilland Canada DHC-6 Twin Otter 300,9n-aev,Tara Air,0.0,Jumla Airport (JUM),sub
1090,2018-06-10,Boeing 777-223ER,n750an,American Airlines,0.0,"Decatur, Texas",non
1091,2018-06-10,Boeing 737-8AL (WL),n276ea,"Swiftair, opf Smartwings",0.0,Heraklion-N. Kazantzakis Airport (HER/LGIR),sub
1092,2018-06-10,Boeing 787-9 Dreamliner,n826an,American Airlines,0.0,near Harbin,non
1093,2018-06-10,de Havilland Canada DHC-8-402Q Dash 8,c-fnen,WestJet Encore,0.0,"SE of Kamloops, BC",non
1094,2018-06-10,Gulfstream G-IV,n450mb,private,0.0,Panama City Albrook-Marcos A. Gelabert International Airport (PAC),sub
1095,2018-06-11,Pilatus Britten-Norman BN-2B-26 Islander,vp-fbm,Falkland Islands Government Air Service - FIGAS,0.0,Beaver Island Airstrip,sub
1096,2018-06-11,Airbus A340-313,d-aifa,Lufthansa,0.0,Frankfurt International Airport (FRA/EDDF),sub
1097,2018-06-12,Boeing 737-8H4 (WL),n8693a,Southwest Airlines,0.0,"Phoenix, Arizona",non
1098,2018-06-14,McDonnell Douglas MD-83,ur-cpr,Bravo Airways,0.0,Kyiv-Igor Sikorsky International Airport (IEV),sub
1099,2018-06-14,de Havilland Canada DHC-8-202Q Dash 8,p2-anx,LinkPNG,0.0,Mendi Airport (MDU),w/o
1100,2018-06-16,Embraer ERJ-175LR,n637cz,"Delta Connection, opb Compass Airlines",0.0,"Cut Bank, Montana",non
1101,2018-06-18,Cessna 208B Grand Caravan,pk-fsl,Spirit Avia Sentosa,0.0,"6,7 km E of Nabire Airport (NBX)",sub
1102,2018-06-21,Embraer ERJ 170LR (ERJ-170-100 LR),n876rw,"Delta Connection, opb Republic Airlines",0.0,"Columbus-John Glenn International Airport, OH (CMH)",sub
1103,2018-06-22,Boeing 737-8JP (WL),ln-dye,Norwegian,0.0,Alta Airport (ALF/ENAT),non
1104,2018-06-22,de Havilland Canada DHC-6 Twin Otter 300,pk-hvu,Dimonim Air,0.0,Kenyam Airstrip,min
1105,2018-06-24,Boeing 777-346,ja8944,Japan Airlines (JAL),0.0,over Kurihara City,non
1106,2018-06-24,Let L-410UVP,3x-aak,Eagle Air (Guinea),4.0,"Souguéta, Kindia",w/o
1107,2018-06-25,de Havilland Canada DHC-6 Twin Otter 300,pk-yru,Trigana Air Service,0.0,Kenyam Airstrip,min
1108,2018-06-26,Ilyushin Il-76,unknown,Islamic Republic of Iran Air Force - IRIAF,0.0,Damascus International Airport (DAM),w/o
1109,2018-06-26,Learjet 60,n57,Federal Aviation Administration - FAA,0.0,"Salt Lake City International Airport, UT (SLC)",sub
1110,2018-06-26,Airbus A330-323,hl8286,Asiana Airlines,0.0,Seoul-Gimpo (Kimpo) International Airport (SEL),min
1111,2018-06-26,Boeing 777-2B5ER,hl7764,Korean Air,0.0,Seoul-Gimpo (Kimpo) International Airport (SEL),sub
1112,2018-06-27,Antonov An-2R,ra-62524,Feniks,0.0,"Nizhneudinsk, Irkutsk region",sub
1113,2018-06-30,Airbus A330-323,n278ay,American Airlines,0.0,"120 nm NE of Gander, NL",non
1114,2018-06-30,IRMA/Pilatus Britten-Norman BN-2A-26 Islander,v3-hfb,Maya Island Air,0.0,San Pedro Airport (SPR),sub
1115,2018-06-30,Cessna 208 Caravan I,unknown,Unknown,0.0,Illertissen,min
1116,2018-07-04,Cessna 208B Grand Caravan,n208ee,Air Choice One,0.0,"Chicago-O'Hare International Airport, IL (ORD/KORD)",sub
1117,2018-07-05,Dornier 228-202,vh-vjn,GAM - General Aviation Maintenance,0.0,"Thangool Airport, QLD (THG)",sub
1118,2018-07-05,Cessna 208B Grand Caravan,5y-buc,Flex Air Charters,0.0,"1,2 km from Padek Airstrip",sub
1119,2018-07-06,ATR 72-600 (72-212A),cs-djg,"TAP Express, opb White Airways",0.0,Fez-Sais Airport (FEZ),sub
1120,2018-07-09,ATR 72-600 (72-212A),cn-coh,RAM Express,0.0,"2,6 km N off Al Hoceima-Charif Al Idrissi Airport (AHU)",sub
1121,2018-07-09,de Havilland Canada DHC-3T Texas Turbine Otter,c-gbqc,Ookpik Aviation,0.0,"Parker Lake, NU",sub
1122,2018-07-10,de Havilland Canada DHC-3T Vazar Turbine Otter,n3952b,Taquan Air,0.0,"Mount Jumbo, Prince of Wales Island, AK",sub
1123,2018-07-10,Convair CV-340,zs-brv,Rovos Air,1.0,6 km ESE of Pretoria-Wonderboom Airport (PRY),w/o
1124,2018-07-11,Douglas DC-3C,hk-3293,Air Colombia,0.0,San Felipe Airport,sub
1125,2018-07-16,Boeing 737-8EH (WL),pr-ggd,Gol Linhas Aéreas,0.0,"Belo Horizonte-Tancredo Neves International Airport, MG (CNF)",sub
1126,2018-07-16,Boeing 737-8F2 (WL),lv-hqy,Flybondi,0.0,"Cataratas del Iguazú-M.C.E. Krause Airport, MI (IGR)",sub
1127,2018-07-16,Curtiss C-46F-1-CU Commando,n1822m,Everts Air Fuel,0.0,"Manley Hot Springs Airport, AK (MLY)",sub
1128,2018-07-20,Boeing 767-3Q8ER,c-fjzk,Air Canada Rouge,0.0,"140 nm SSE of Lovelock, NV",non
1129,2018-07-20,Antonov An-26B,up-an611,Kazairtrans Airline,0.0,50 km from Al Alamain,w/o
1130,2018-07-21,Douglas C-47B (DC-3),n47hl,"Commemorative Air Force, Highland Lakes Squadron",0.0,"Burnet Municipal Kate Craddock Field, TX",w/o
1131,2018-07-22,Cessna 750 Citation X,n752tx,Textron Inc.,0.0,Cork Airport (ORK/EICK),sub
1132,2018-07-23,McDonnell Douglas MD-88,n918de,Delta Air Lines,0.0,"Charlotte-Douglas International Airport, NC (CLT/KCLT)",non
1133,2018-07-23,Airbus A319-114,n328nb,Delta Air Lines,0.0,"West Palm Beach, Florida",non
1134,2018-07-23,Cessna 560 Citation Encore,n866vp,OzAir Charter Service,0.0,"near Tulsa International Airport, OK (TUL)",sub
1135,2018-07-26,Boeing 757-204,up-b5705,"Sunday Airlines, opf SCAT Airlines",0.0,Almaty Airport (ALA/UAAA),sub
1136,2018-07-27,Boeing 767-38EER,n641gt,Atlas Air,0.0,"Portsmouth International Airport at Pease, NH (PSM)",sub
1137,2018-07-27,Antonov An-2R,9s-gfs,Air Kasai,5.0,3 km E of Kamako Airstrip,w/o
1138,2018-07-28,IRMA/Britten-Norman BN-2A-27 Islander,yj-al2,Air Taxi Vanuatu,0.0,Port Vila-Bauerfield Airport (VLI),sub
1139,2018-07-28,Britten-Norman BN-2A-8 Islander,yj-oo9,Unity Airlines,0.0,Port Vila-Bauerfield Airport (VLI),w/o
1140,2018-07-28,ATR 72-500 (72-212A),yj-av71,Air Vanuatu,0.0,Port Vila-Bauerfield Airport (VLI),sub
1141,2018-07-30,Antonov An-2SX,ra-40649,private,0.0,"Evenki district, Krasnoyarsk Krai",sub
1142,2018-07-31,Boeing 757-223,n192an,American Airlines,0.0,"Philadelphia International Airport, PA (PHL/KPHL)",sub
1143,2018-07-31,Embraer ERJ 190AR,xa-gal,Aeroméxico Connect,0.0,Durango-Guadalupe Victoria Airport (DGO),w/o
1144,2018-08-01,Beechcraft B300 King Air 350,n557ap,Atlantic Transportation of Wilmington LLC,0.0,"near Wilmington-New Hanover County International Airport, NC (ILM)",sub
1145,2018-08-03,Shijiazhuang Y-5B(D),b-50aa,Heilongjiang Kunpeng General Aviation Co.,0.0,32 km E of Tongjiang,sub
1146,2018-08-04,Junkers Ju-52/3mg4e,hb-hot,Ju-Air,20.0,"1,2 km SW of Piz Segnas",w/o
1147,2018-08-05,Airbus A320-200,unknown,Unknown,0.0,Venice-Marco Polo Airport (VCE/LIPZ),non
1148,2018-08-06,Airbus A321-231,pt-mxa,LATAM Airlines Brasil,0.0,"Choró, CE",non
1149,2018-08-07,Dassault Falcon 20D,n961aa,Alliance Air Charter,0.0,ca 3 km from San Luis Potosí Airport (SLP),sub
1150,2018-08-07,Cessna 208B Grand Caravan,vt-udn,Supreme Airlines,0.0,Lalgarh Airport,sub
1151,2018-08-09,Boeing 777-3F2ER,tc-jjz,THY Turkish Airlines,0.0,Istanbul-Atatürk International Airport (IST),sub
1152,2018-08-09,Boeing 787-8 Dreamliner,cn-rgt,Royal Air Maroc - RAM,0.0,Istanbul-Atatürk International Airport (IST),sub
1153,2018-08-10,de Havilland Canada DHC-8-402Q Dash 8,n449qx,"Horizon Air, opf Alaska Airlines",1.0,"Ketron Island, WA",w/o
1154,2018-08-13,Airbus A321-271N,n204ha,Hawaiian Airlines,0.0,"Los Angeles International Airport, CA (LAX)",sub
1155,2018-08-13,Cessna 525 CitationJet,n526cp,Vancon Holdings,1.0,"Payson, UT",w/o
1156,2018-08-15,Boeing 777-367ER,b-kpy,Cathay Pacific Airways,0.0,Roma-Fiumicino Airport (FCO),sub
1157,2018-08-16,Boeing 737-85C (WL),b-5498,Xiamen Airlines,0.0,Manila-Ninoy Aquino International Airport (MNL),sub
1158,2018-08-19,de Havilland Canada DHC-8-402Q Dash 8,n404av,LC Perú,0.0,Lima-Jorge Chávez International Airport (LIM),sub
1159,2018-08-19,Antonov An-2T,d-fojb,Ostthüringer Fallschirmsportclub - OFC,0.0,Gera-Leumnitz Airfield (EDAJ),sub
1160,2018-08-24,Boeing 757-2Q8 (WL),ei-lbt,Aer Lingus,0.0,"Philadelphia International Airport, PA (PHL/KPHL)",non
1161,2018-08-25,Grumman HU-16C Albatross,n1955g,Stargazer Aero,0.0,"680 km WNW off Cape Hatteras, NC",w/o
1162,2018-08-26,Harbin Y-12E,hk-5036,SATENA,0.0,Santafé del Caguán,sub
1163,2018-08-26,Boeing 767-333ER (WL),c-fmwv,Air Canada Rouge,0.0,"31 km N of Vancouver International Airport, BC (YVR)",sub
1164,2018-08-26,Cessna 208B Grand Caravan,5y-bop,Bush Air Safaris,0.0,Pieri Airstrip,sub
1165,2018-08-27,Airbus A320-214 (WL),ja14va,Vanilla Air,0.0,45 KM East of Miyazaki Airport,non
1166,2018-08-28,Antonov An-2R,lz-1409,Air Mizia,0.0,near Brusartsi,sub
1167,2018-08-28,Airbus A320-214,b-6952,Beijing Capital Airlines,0.0,Macau Airport (MFM),sub
1168,2018-08-30,de Havilland Canada DHC-6 Twin Otter 300,et-aiu/808,Ethiopian Air Force,18.0,near Mojo,w/o
1169,2018-08-31,Cessna 680 Citation Sovereign,tc-oyd,Boydak Air,0.0,Bourgas Airport (BOJ),sub
1170,2018-09-01,Boeing 737-8AS (WL),vq-bji,Utair,0.0,Adler/Sochi Airport (AER),w/o
1171,2018-09-03,Beechcraft B200 Super King Air,n97wc,West Coast Aviation Services,0.0,"Burbank-Bob Hope Airport, CA (BUR)",sub
1172,2018-09-06,Boeing 757-223 (WL),n173an,American Airlines,0.0,"near New York, NY",non
1173,2018-09-06,Beechcraft A100 King Air,pt-ljn,VOAR Aviação,0.0,"Itapaci, GO",sub
1174,2018-09-09,Let L-410UVP,ur-two,"South West Aviation, lsf Slav-Air",20.0,"1,6 km W of Yirol Airstrip",w/o
1175,2018-09-10,Boeing 737-823 (WL),n950nn,American Airlines,0.0,"Phoenix-Sky Harbor International Airport, AZ (PHX/KPHX)",non
1176,2018-09-15,Boeing 777-333ER,c-fnnw,Air Canada,0.0,NE of Nova Scotia,non
1177,2018-09-15,Canadair CL-215-6B11 (CL-415),c-fofi,Government of Newfoundland and Labrador,0.0,"Whitehead Pond, NL",sub
1178,2018-09-16,Boeing 777-328ER,f-gsql,Air France,0.0,Mauritius-Sir Seewoosagur Ramgoolam International Airport (MRU/FIMP),non
1179,2018-09-16,Boeing 747-428FER,tc-acm,"Saudi Arabian Airlines, lsf ACT Airlines",0.0,Frankfurt International Airport (FRA/EDDF),sub
1180,2018-09-17,Ilyushin Il-20M,rf-93610,Russian Air Force,15.0,35 km W off Latakia-Khmeimim Air Base (LTK),w/o
1181,2018-09-17,Airbus A320-216,hs-abi,Thai AirAsia,0.0,Bangkok-Don Muang International Airport (DMK/VTBD),sub
1182,2018-09-18,Antonov An-2R,yu-brk,STS Aviatsija,0.0,near Jagodina,sub
1183,2018-09-18,British Aerospace BAe-125-700A,n109bg,Starjet Inc.,0.0,"Santa Fe Airport, NM (SAF)",sub
1184,2018-09-20,Embraer EMB-120ER Brasilia,n233sw,Berry Aviation,0.0,"south of Lake Jackson, TX",sub
1185,2018-09-23,Boeing 757-224 (WL),n13113,United Airlines,0.0,"Newark Liberty International Airport, NJ (ERW/KEWR)",non
1186,2018-09-24,Honda HA-420 HondaJet,pr-tlz,América Latina Tecnologia Agrícola - ALTA,0.0,"Foz do Iguaçu/Cataratas Airport, PR (IGU/SBFI)",sub
1187,2018-09-24,Airbus A340-313,rp-c3435,Philippine Air Lines,0.0,"Vancouver International Airport, BC (YVR/CYVR)",sub
1188,2018-09-25,Beechcraft 200 Super King Air,n241ck,Kalitta Charters,1.0,"6,4 km SW of Oscoda Wurtsmith Airport, MI",w/o
1189,2018-09-26,Airbus A321-231 (WL),n994an,American Airlines,0.0,"Dallas/Fort Worth International Airport, TX (DFW/KDFW)",non
1190,2018-09-27,Airbus A310-304,c-gfat,Air Transat,0.0,over North Atlantic Ocean,non
1191,2018-09-27,Cessna 208B Supervan 900,vh-fay,CGG Aviation Australia,1.0,"120 km E off Sendai, Japan",w/o
1192,2018-09-27,Dassault Falcon 50,n114td,Air America Flight Services,2.0,"Greenville Downtown Airport, SC (GMU)",sub
1193,2018-09-28,Airbus A320-232,pt-mzj,LATAM Airlines Brasil,0.0,"São Paulo-Congonhas Airport, SP (CGH)",sub
1194,2018-09-28,Boeing 737-8BK (WL),p2-pxe,Air Niugini,1.0,"0,5 km from Chuuk/Weno International Airport (TKK)",sub
1195,2018-10-01,Antonov An-2T,yv1719,Inversiones Moraima,0.0,42 km SE of Uriman,sub
1196,2018-10-03,Beechcraft 1900C,n575q,"Ravn Connect, opb Frontier Flying Service",0.0,"Gambell Airport, AK (GAM)",sub
1197,2018-10-03,Antonov An-26,7706,Al Quwwat al-Jawwiya As-Sudaniya (Sudanese Air Force),0.0,Khartoum Airport (KRT),w/o
1198,2018-10-03,Antonov An-32A,7721,Al Quwwat al-Jawwiya As-Sudaniya (Sudanese Air Force),0.0,Khartoum Airport (KRT),w/o
1199,2018-10-08,Boeing 747-4D7,hs-tgf,Thai Airways International,0.0,Bangkok-Suvarnabhumi International Airport (BKK/VTBS),sub
1200,2018-10-09,Boeing 737-7H4 (WL),n287wn,Southwest Airlines,0.0,"Nashville International Airport, TN (BNA/KBNA)",non
1201,2018-10-10,Cessna 208B Grand Caravan EX,pk-jbr,Jhonlin Air Transport,0.0,Beoga Airstrip,sub
1202,2018-10-10,Sukhoi Superjet 100-95B,ra-89011,Yakutia Airlines,0.0,Yakutsk Airport (YKS),sub
1203,2018-10-11,Boeing 737-7H4 (WL),n734sa,Southwest Airlines,0.0,"San Jose, California",non
1204,2018-10-12,Airbus A319-112,n926fr,Frontier Airlines,0.0,"Denver International Airport, CO (DEN/KDEN)",non
1205,2018-10-12,ATR 72-202,5n-bpe,Overland Airways,0.0,Lagos-Murtala Muhammed International Airport (LOS),w/o
1206,2018-10-12,Boeing 737-8HG (WL),vt-ayd,Air India Express,0.0,Tiruchirappalli-Civil Airport (TRZ),sub
1207,2018-10-15,Boeing 737-7L9 (WL),n7816b,Southwest Airlines,0.0,"Albany, New York",non
1208,2018-10-15,Boeing 777-337ER,vt-aln,Air India,0.0,Mumbai-Chhatrapati Shivaji International Airport (BOM/VABB),non
1209,2018-10-29,Boeing 737 MAX 8,pk-lqp,Lion Air,189.0,15 km N off Tanjung Bungin,w/o
1210,2018-10-31,Airbus A330-323,n817nw,Delta Air Lines,0.0,Paris-Charles de Gaulle Airport (CDG),sub
1211,2018-10-31,Airbus A330-203,f-gzci,Air France,0.0,Paris-Charles de Gaulle Airport (CDG),sub
1212,2018-11-07,Boeing 747-412F,n908ar,Sky Lease Cargo,0.0,"Halifax-Stanfield International Airport, NS (YHZ/CYHZ)",sub
1213,2018-11-08,Antonov An-2R,ra-84674,2nd Arkhangelsk United Aviation Division,0.0,50 km NE of Arkhangelsk-Talaghy Airport (ARH),w/o
1214,2018-11-09,Lockheed C-130E Hercules,4180,Pakistan Air Force,0.0,Chaklala-PAF Base Nur Khan (RWP),w/o
1215,2018-11-09,Boeing 757-23N,n524at,Fly Jamaica Airways,1.0,Georgetown-Cheddi Jagan International Airport (GEO),sub
1216,2018-11-11,Embraer ERJ-190LR (ERJ-190-100 LR),p4-kcj,Air Astana,0.0,NE of Lisbon,sub
1217,2018-11-12,Hawker Siddeley HS-125-700A,n406j,Songbird Aviation LLC,0.0,"Winder-Barrow County Airport, GA (WDR)",sub
1218,2018-11-15,de Havilland Canada DHC-8-315Q Dash 8,c-fpae,PAL Airlines,0.0,"Stephenville International Airport, NL (YJT)",sub
1219,2018-11-16,British Aerospace 3212 Jetstream 32,hk-4394,SARPA - Servicios Aéreos Panamericanos,0.0,Bahía Solano-José Celestino Mutis Airport (BSC),sub
1220,2018-11-20,Boeing 737-8LJ (WL),vp-bcg,Aeroflot,1.0,Moskva-Sheremetyevo Airport (SVO/UUEE),min
1221,2018-11-21,Fairchild SA227-AC Metro III,c-fyag,Perimeter Aviation,0.0,"Deer Lake Airport, ON (YVZ)",sub
1222,2018-11-22,Boeing 737-53C,ob-2041-p,Peruvian Airlines,0.0,La Paz-El Alto Airport (LPB),sub
1223,2018-11-23,British Aerospace BAe-125-700A,n422x,private,,S of Curaçao [Caribbean Sea],mis
1224,2018-11-24,ATR 72-500 (72-212A),ap-bkw,Pakistan International Airlines - PIA,0.0,Karachi-Jinnah International Airport (KHI),sub
1225,2018-11-26,Cessna 525 Citation M2,pp-oeg,ARG Ltda.,4.0,"near Jequitaí-Fazenda Fortaleza de Santa Terezinha Airport, MG",w/o
1226,2018-11-30,Cessna 550 Citation II,n941jm,"Dirt Dynamics, Inc.",0.0,"Fargo-Hector International Airport, ND (FAR)",sub
1227,2018-11-30,Cessna 525A CitationJet CJ2+,n525eg,Estoair LLC,3.0,"4 km WSW of Memphis, IN",w/o
1228,2018-12-01,Airbus A320-232 (WL),n632nk,Spirit Airlines,0.0,"near Las Vegas, NV",non
1229,2018-12-01,Bombardier CRJ-200LR,n202ps,PSA Airlines,0.0,"New York-La Guardia Airport, NY (LGA)",sub
1230,2018-12-03,Hawker 800XP,4x-cuz,Arrow Aviation Ltd.,0.0,Tel Aviv-Ben Gurion International Airport (TLV/LLBG),sub
1231,2018-12-03,Boeing 737-823 (WL),n868nn,American Airlines,0.0,"Chicago-O'Hare International Airport, IL (ORD/KORD)",non
1232,2018-12-04,Boeing 767-332ER (WL),n193dn,Delta Air Lines,0.0,"SUNNS intersection, Osaka",non
1233,2018-12-04,Airbus A320-214,sx-emy,Ellinair,0.0,Athens-Elefthérios Venizélos International Airport (ATH/LGAV),sub
1234,2018-12-06,Lockheed Martin KC-130J,167981,United States Marine Corps,5.0,"100 km SSE off Muroto Cape, Japan",w/o
1235,2018-12-08,Airbus A320-232 (WL),hs-txq,Thai Smile,0.0,near Bangkok-Suvarnabhumi International Airport (BKK/VTBS),non
1236,2018-12-08,Beechcraft 200 Super King Air,vh-odi,Desert-Air Safaris,0.0,"Mount Gambier Airport, SA (MGB)",sub
1237,2018-12-08,Beechcraft 200 Super King Air,unknown,Unknown,0.0,"Corozo, Sarstún",w/o
1238,2018-12-08,Pilatus Britten-Norman BN-2A-20 Islander,vh-obl,Par-Avion,1.0,"101 km WSW of Hobart, TAS",w/o
1239,2018-12-10,Airbus A300B4-203 (F),xa-mrc,AeroUnion - Aerotransporte de Carga Union,0.0,Mexico City-Benito Juárez International Airport (MEX),sub
1240,2018-12-11,Boeing 777-333ER,c-fitw,Air Canada,0.0,Hong Kong-Chek Lap Kok International Airport (HKG/VHHH),sub
1241,2018-12-15,Learjet 35A,n55fn,Med Air LLC,0.0,"Key West International Airport, FL (EYW)",sub
1242,2018-12-18,Boeing 787-9 Dreamliner,et-aup,Ethiopian Airlines,0.0,Oslo-Gardermoen Airport (OSL),sub
1243,2018-12-18,Dornier 228-201,s9-aun,Africa's Connection STP,0.0,São Tomé Island Airport (TMS/FPST),sub
1244,2018-12-20,Antonov An-26B,9s-agb,Gomair,7.0,ca 37 km from Kinshasa-N'Djili Airport (FIH),w/o
1245,2018-12-20,Cessna 560 Citation V,n188cw,Chen Aircrafts LLC,4.0,"2 km NE of Atlanta-Fulton County Airport, GA (FTY)",w/o
1246,2018-12-22,PZL-Mielec M28 Skytruck,gnb-96107,Guardia Nacional Bolivariana de Venezuela - GNBV,0.0,Kamarata Airport (KTV),sub
1247,2018-12-24,Antonov An-26B,9t-tab,Air Force of the Democratic Republic of the Congo,0.0,Beni Airport (BNC),w/o
1248,2018-12-31,Boeing 757-2B7 (WL),n938uw,American Airlines,0.0,"Charlotte-Douglas International Airport, NC (CLT/KCLT)",sub
1249,2018-12-31,Rockwell Sabreliner 80,n337kl,private,0.0,"Eugene Airport, OR (EUG)",sub
